Date;Nucléaire;Total
2014-01-01 00:00:00;54249;62306
2014-01-01 01:00:00;54122;60850
2014-01-01 02:00:00;53215;59245
2014-01-01 03:00:00;50866;56599
2014-01-01 04:00:00;48739;54315
2014-01-01 05:00:00;47826;53383
2014-01-01 06:00:00;47354;52416
2014-01-01 07:00:00;46735;51828
2014-01-01 08:00:00;45716;50949
2014-01-01 09:00:00;45964;51428
2014-01-01 10:00:00;46217;52292
2014-01-01 11:00:00;47294;53492
2014-01-01 12:00:00;48467;55481
2014-01-01 13:00:00;47900;54396
2014-01-01 14:00:00;48061;54181
2014-01-01 15:00:00;48057;53582
2014-01-01 16:00:00;49198;54421
2014-01-01 17:00:00;51224;57378
2014-01-01 18:00:00;51832;59323
2014-01-01 19:00:00;52048;60286
2014-01-01 20:00:00;51941;59082
2014-01-01 21:00:00;51814;57993
2014-01-01 22:00:00;51659;58503
2014-01-01 23:00:00;51262;57282
2014-01-02 00:00:00;47362;53870
2014-01-02 01:00:00;45116;51132
2014-01-02 02:00:00;44056;49818
2014-01-02 03:00:00;42025;47585
2014-01-02 04:00:00;41580;46911
2014-01-02 05:00:00;42948;48480
2014-01-02 06:00:00;46318;52294
2014-01-02 07:00:00;50824;57158
2014-01-02 08:00:00;53316;59843
2014-01-02 09:00:00;54629;61763
2014-01-02 10:00:00;55061;63614
2014-01-02 11:00:00;55288;64412
2014-01-02 12:00:00;55161;64808
2014-01-02 13:00:00;55035;64097
2014-01-02 14:00:00;54701;63177
2014-01-02 15:00:00;53751;63586
2014-01-02 16:00:00;53491;63375
2014-01-02 17:00:00;53437;64501
2014-01-02 18:00:00;54282;66348
2014-01-02 19:00:00;54637;67323
2014-01-02 20:00:00;54228;65035
2014-01-02 21:00:00;54103;63007
2014-01-02 22:00:00;53342;61867
2014-01-02 23:00:00;53459;61513
2014-01-03 00:00:00;52768;59950
2014-01-03 01:00:00;51801;58249
2014-01-03 02:00:00;50502;56854
2014-01-03 03:00:00;48254;54447
2014-01-03 04:00:00;47652;53736
2014-01-03 05:00:00;49366;55413
2014-01-03 06:00:00;52107;58346
2014-01-03 07:00:00;54282;61020
2014-01-03 08:00:00;55546;63154
2014-01-03 09:00:00;55608;64321
2014-01-03 10:00:00;55665;64858
2014-01-03 11:00:00;56022;65729
2014-01-03 12:00:00;55878;65692
2014-01-03 13:00:00;55876;64561
2014-01-03 14:00:00;55691;63892
2014-01-03 15:00:00;55807;63592
