Date;Biomasse;Gaz;Charbon;Fioul;Hydraulique STEP;Hydraulique fil de l'eau / éclusée;Hydraulique lacs;Nucléaire;Solaire;Déchets;Éolien terrestre;Total
2015-01-01 00:00:00;193;2823;2025;274;9;4426;4555;57633;20;284;1314;73556
2015-01-01 01:00:00;193;2515;1577;274;11;4229;3732;57945;21;281;1383;72161
2015-01-01 02:00:00;193;2452;1416;273;14;4007;3046;57652;19;281;1464;70817
2015-01-01 03:00:00;193;2345;1132;274;326;3787;1726;57583;20;282;1543;69211
2015-01-01 04:00:00;193;2344;770;276;1488;3654;810;57551;19;281;1579;68965
2015-01-01 05:00:00;193;2340;861;277;2361;3594;1090;57465;21;277;1482;69961
2015-01-01 06:00:00;193;2318;1067;277;2131;3416;1269;57683;21;279;1387;70041
2015-01-01 07:00:00;194;2357;1083;276;2096;3283;1086;57384;20;278;1583;69640
2015-01-01 08:00:00;198;2385;965;277;2534;3472;916;56839;59;275;1814;69734
2015-01-01 09:00:00;205;2382;984;279;2741;3681;803;57017;385;274;1936;70687
2015-01-01 10:00:00;205;2364;1091;278;2221;3798;819;57458;1053;276;1927;71490
2015-01-01 11:00:00;204;2355;1052;278;1629;3889;1095;57479;1635;278;1846;71740
2015-01-01 12:00:00;204;2352;1052;275;1300;4007;1699;57840;1883;277;1768;72657
2015-01-01 13:00:00;204;2343;1008;273;626;3718;960;57501;1857;274;1715;70479
2015-01-01 14:00:00;204;2330;998;274;1389;3483;610;57133;1516;278;1693;69908
2015-01-01 15:00:00;204;2324;1038;276;2645;3418;598;57388;911;277;1697;70776
2015-01-01 16:00:00;205;2319;1093;276;2140;3378;660;57643;300;278;1938;70230
2015-01-01 17:00:00;205;2350;1176;275;251;3678;3006;58011;39;279;2301;71571
2015-01-01 18:00:00;205;2363;1162;274;15;4530;5744;58080;25;278;2672;75348
2015-01-01 19:00:00;205;2358;1233;274;1;4926;6382;58246;21;279;3017;76942
2015-01-01 20:00:00;205;2397;1202;274;1;4817;5380;58257;21;281;3289;76124
2015-01-01 21:00:00;205;2591;1165;275;11;4830;3513;58192;20;279;3496;74577
2015-01-01 22:00:00;205;2735;1175;274;13;4764;4193;58194;21;279;3619;75472
2015-01-01 23:00:00;205;2748;943;273;11;4395;3041;58077;24;282;3887;73886
2015-01-02 00:00:00;205;2570;971;274;82;3685;1773;58012;19;282;3971;71844
2015-01-02 01:00:00;205;2357;1001;274;588;3178;1172;57865;18;282;4022;70962
2015-01-02 02:00:00;205;2342;992;274;1014;2836;903;57838;17;282;4034;70737
2015-01-02 03:00:00;204;2342;750;274;2896;2792;533;57416;20;282;4223;71732
2015-01-02 04:00:00;205;2340;699;274;3263;2799;430;57040;17;282;4433;71782
2015-01-02 05:00:00;205;2342;736;275;3284;2865;350;57368;17;283;4504;72229
2015-01-02 06:00:00;203;2290;1147;275;2931;3023;716;58084;21;280;4490;73460
2015-01-02 07:00:00;203;2321;1575;273;1417;3200;1452;58080;20;278;4425;73244
2015-01-02 08:00:00;201;2570;1784;276;14;3667;3013;58041;57;279;4247;74149
2015-01-02 09:00:00;200;2594;1945;276;1;4224;3975;58459;331;275;3843;76123
2015-01-02 10:00:00;201;2596;2276;274;1;4554;4344;58590;842;276;3518;77472
2015-01-02 11:00:00;204;2612;2433;276;1;4880;4563;58589;1271;271;3270;78370
2015-01-02 12:00:00;205;2603;2427;275;1;4941;5375;58605;1397;268;3083;79180
2015-01-02 13:00:00;205;2601;2345;274;4;4577;3989;58552;1360;275;2771;76953
2015-01-02 14:00:00;205;2602;2339;285;77;4035;3223;58509;1119;275;2381;75050
2015-01-02 15:00:00;204;2595;2333;285;530;3987;3120;57740;639;279;2162;73874
2015-01-02 16:00:00;204;2671;2272;284;377;4314;3249;57630;203;276;1877;73357
2015-01-02 17:00:00;202;2825;2336;283;42;4884;5212;58070;36;276;1692;75858
2015-01-02 18:00:00;202;3059;2336;285;52;5462;6932;58487;27;277;1605;78724
2015-01-02 19:00:00;202;3060;2240;285;13;5481;7094;58593;21;283;1488;78760
2015-01-02 20:00:00;202;3029;2255;274;3;5194;5479;58620;21;282;1367;76726
2015-01-02 21:00:00;202;3021;2136;275;18;4821;3591;58621;20;281;1192;74178
2015-01-02 22:00:00;202;3086;2009;275;15;4831;3930;58623;20;282;1088;74361
2015-01-02 23:00:00;202;3099;1977;275;15;4558;4450;58525;25;284;1038;74448
2015-01-03 00:00:00;202;2673;1538;275;50;4492;2422;58133;23;285;1168;71261
2015-01-03 01:00:00;202;2297;1086;274;440;4042;1601;58167;19;285;1278;69691
2015-01-03 02:00:00;202;2290;1040;274;768;3723;1239;57894;18;285;1376;69109
2015-01-03 03:00:00;202;2299;850;274;2189;3345;831;56997;17;285;1606;68895
2015-01-03 04:00:00;202;2312;801;275;3057;3075;617;56636;18;285;1905;69183
2015-01-03 05:00:00;202;2291;809;275;2825;3007;673;56850;19;284;2182;69417
2015-01-03 06:00:00;202;2283;905;275;2152;3103;783;57229;19;282;2344;69577
2015-01-03 07:00:00;202;2302;908;274;1942;3335;882;57056;21;282;2744;69948
2015-01-03 08:00:00;201;2291;973;274;1753;3831;1145;57674;52;280;3217;71691
2015-01-03 09:00:00;202;2250;1174;274;1026;4327;1505;57905;275;278;3846;73062
2015-01-03 10:00:00;202;2235;1413;275;868;4651;1674;58014;693;278;4216;74519
2015-01-03 11:00:00;202;2223;1585;275;1063;4675;2233;57944;1025;281;4683;76189
2015-01-03 12:00:00;201;2201;1723;274;451;4707;2361;57871;1183;283;5302;76557
2015-01-03 13:00:00;200;2201;1768;275;631;4318;1939;57183;1204;284;5822;75825
2015-01-03 14:00:00;199;2188;1535;275;1667;3846;1601;56541;991;284;6246;75373
2015-01-03 15:00:00;199;2189;1628;276;2594;3452;1092;56379;600;282;6630;75321
2015-01-03 16:00:00;199;2186;1766;275;2658;3566;939;56028;209;285;6730;74841
2015-01-03 17:00:00;199;2208;1937;275;907;4072;1852;56794;38;282;6649;75213
2015-01-03 18:00:00;199;2244;1945;274;44;4922;3395;57091;21;284;6362;76781
2015-01-03 19:00:00;199;2254;1793;276;58;4955;3060;57082;17;285;5858;75837
2015-01-03 20:00:00;199;2251;1570;275;408;4582;1781;56861;20;286;4972;73205
2015-01-03 21:00:00;199;2270;1588;275;1656;4437;1072;56897;21;286;4106;72807
2015-01-03 22:00:00;199;2233;1707;276;1447;4676;1511;56782;20;284;3385;72520
2015-01-03 23:00:00;199;2239;1781;275;705;4381;1414;56564;19;284;2742;70603
2015-01-04 00:00:00;199;2232;1342;274;1476;4125;663;55961;19;281;2376;68948
2015-01-04 01:00:00;199;2221;733;274;2104;3831;467;54906;19;282;2172;67208
2015-01-04 02:00:00;199;2231;683;275;2625;3575;304;54429;19;285;2086;66711
2015-01-04 03:00:00;199;2263;713;273;3161;3313;152;52316;21;286;1815;64512
2015-01-04 04:00:00;199;2265;689;274;3252;3291;174;51262;22;288;1562;63278
2015-01-04 05:00:00;198;2276;669;274;3130;3380;181;51480;25;285;1370;63268
2015-01-04 06:00:00;199;2318;590;275;3075;3480;144;52679;21;282;1273;64336
2015-01-04 07:00:00;199;2328;567;274;3196;3734;142;53272;19;282;1164;65177
